question,context
Do you have a secondary choice for guardian?,My cousin is the alternative guardian for my children.
Do you have a secondary choice for guardian?,My best friend is the backup guardian for my kids.
Do you have any outstanding debts such as mortgages loans or credit card balances?, Yes I have 
Do you have any outstanding debts such as mortgages loans or credit card balances?, No I do not have
How do you want these debts to be handled upon your death?,I have a mortgage and some outstanding loans which should be settled with my existing assets after my passing.
How do you want these debts to be handled upon your death?,Allocating specific portions of my estate to cover my debts is essential to avoid burdening my family.
How do you want these debts to be handled upon your death?,I would like my funeral service to be a celebration of life filled with joyous memories and uplifting moments.
How do you want these debts to be handled upon your death?,Opting for a traditional burial with a small ceremony and gathering for close friends and family is my preference.
How do you want these debts to be handled upon your death?,Yes I have already made necessary pre-arrangements and pre-payments to ease the process for my loved ones.
Do you have specific wishes for your funeral or memorial service?,I wish to have a small and private ceremony with immediate family.
Do you have specific wishes for your funeral or memorial service?,I would like my funeral to be a celebration of life with music and laughter.
Do you have specific wishes for your funeral or memorial service?,I prefer a traditional funeral service at my local church.
Do you have specific wishes for your funeral or memorial service?,A memorial service near the ocean would reflect my love for nature.
Do you have specific wishes for your funeral or memorial service?,I want my funeral to be a simple affair without any elaborate arrangements.
Do you have a preferred burial or cremation method?,I prefer to be buried in a natural burial ground.
Do you have a preferred burial or cremation method?,Cremation is my preferred choice for final disposition.
Do you have a preferred burial or cremation method?,I wish to be buried in the family plot in my hometown.
Do you have a preferred burial or cremation method?,A traditional burial in a cemetery aligns with my cultural beliefs.
Do you have a preferred burial or cremation method?,I would like my ashes to be scattered at a place that holds special meaning to me.
Have you made any pre-arrangements or pre-payments related to your funeral or burial?,I have pre-paid for my funeral to alleviate the financial burden on my family.
Have you made any pre-arrangements or pre-payments related to your funeral or burial?,I have pre-arranged with a specific funeral home for my burial services.
Have you made any pre-arrangements or pre-payments related to your funeral or burial?,I have set aside funds for my funeral expenses in a designated account.
Have you made any pre-arrangements or pre-payments related to your funeral or burial?,I have a detailed plan in place for my funeral arrangements including pre-arranged services.
Have you made any pre-arrangements or pre-payments related to your funeral or burial?,I have made specific requests to my family regarding my funeral with all arrangements taken care of.
Do you have digital assets that need to be addressed in your will?,I have several social media accounts that hold personal and professional data.
Do you have digital assets that need to be addressed in your will?,I own a significant online collection of photographs and artworks that need to be managed.
Do you have digital assets that need to be addressed in your will?,My online banking details and investment portfolios need to be securely transferred.
Do you have digital assets that need to be addressed in your will?,I have valuable intellectual property stored digitally that needs proper handling.
Do you have digital assets that need to be addressed in your will?,There are sensitive documents stored on my cloud storage that should be passed on securely.
How do you want these assets to be handled?,I want my digital assets to be securely transferred to my designated beneficiaries.
How do you want these assets to be handled?,All my online accounts should be deactivated and closed after the transfer of necessary data.
How do you want these assets to be handled?,I want my digital photographs and artworks to be preserved and shared with my loved ones.
How do you want these assets to be handled?,My online banking details should be accessed by my family for any necessary financial arrangements.
How do you want these assets to be handled?,Any sensitive data or intellectual property should be securely managed or deleted as per my instructions.
Are there any charitable donations you want to make upon your death?,I intend to donate a significant portion of my estate to a few charitable organizations supporting education and healthcare.
Are there any charitable donations you want to make upon your death?,There are specific causes and foundations that are close to my heart and I wish to make substantial donations to them.
Are there any charitable donations you want to make upon your death?,I want to establish a scholarship fund in my name for underprivileged students pursuing higher education.
Are there any charitable donations you want to make upon your death?,My will includes instructions for donating a part of my estate to wildlife conservation and environmental protection organizations.
Are there any charitable donations you want to make upon your death?,I plan to contribute to various local community initiatives including food banks and shelters for the homeless.
Do you have any other specific wishes or instructions that should be included in your will?,I have a detailed list of sentimental items that I want to distribute among my family members and close friends.
Do you have any other specific wishes or instructions that should be included in your will?,There are specific personal possessions such as my vintage car and antique furniture that I want to be allocated to specific individuals.
Do you have any other specific wishes or instructions that should be included in your will?,I have written a separate letter with my final messages and wishes to be read by my family after my passing.
Do you have any other specific wishes or instructions that should be included in your will?,My will includes instructions on how to handle my private journals and diaries which hold personal memories and reflections.
Do you have any other specific wishes or instructions that should be included in your will?,I want my funeral to be a celebration of my life with specific music and readings that I have detailed in my will.
